Chemical Name	CAS #	Formula	Synonyms	Get Report
"URANIUM METAL AND INSOLUBLE COMPOUNDS, as U"	7440-61-1	U	Uranium metal: Uranium I Synonyms of other insoluble uranium compounds vary depending upon the specific compound.	Get Report 
"YTTRIUM METAL AND COMPOUNDS, as Y"	7440-65-5	Y	Yttrium metal	Get Report 
"ZIRCONIUM METAL AND COMPOUNDS, as Zr"	7440-67-7	Zr	Zirconium metal: Zirconium Synonyms of other zirconium compounds vary depending upon the specific compound.	Get Report 
"INDIUM METAL AND COMPOUNDS, as In"	7440-74-6	In	Indium metal	Get Report 
SULFUR DIOXIDE	9/5/7446	O2S	Sulfurous acid anhydride; Sulfurous oxide; Sulfur oxide	Get Report 
"LEAD PHOSPHATE, as Pb"	7446-27-7	Pb		Get Report 
ETHYL CHLORIDE	75-00-3	C2H5Cl	Chloroethane; Hydrochloric ether; Monochloroethane; Muriatic ether	Get Report 
VINYL CHLORIDE	75-01-4	C2H3Cl	Chloroethene; Chloroethylene; Ethylene monochloride; Monochloroethene; Monochloroethylene; VC; Vinyl chloride monomer (VCM)	Get Report 
VINYL FLUORIDE	75-02-5	C2H3F	"Fluoroethene; Fluoroethylene; Monofluoroethylene; Vinyl fluoride monomer; Vinyl fluoride, inhibited"	Get Report 
ETHYLAMINE	75-04-7	C2H7N	Aminoethane; Ethylamine (anhydrous); Monoethylamine	Get Report 
ACETONITRILE	75-05-8	C2H3N	Cyanomethane; Ethyl nitrile; Methyl cyanide	Get Report 
ACETALDEHYDE	75-07-0	C2H4O	Acetic aldehyde; Ethanal; Ethyl aldehyde	Get Report 
ETHYL MERCAPTAN	75-08-1	C2H6S	Ethanethiol; Ethyl sulfhydrate; Mercaptoethane	Get Report 
METHYLENE CHLORIDE	75-09-2	CH2Cl2	Dichloromethane; Methylene dichloride	Get Report 
FORMAMIDE	75-12-7	CH3NO	Carbamaldehyde; Methanamide	Get Report 
CARBON DISULFIDE	75-15-0	CS2	Carbon bisulfide	Get Report 
ETHYLENE OXIDE	75-21-8	C2H4O	"Dimethylene oxide; 1,2-Epoxy ethane; Oxirane"	Get Report 
BROMOFORM	75-25-2	CHBr3	Methyl tribromide; Tribromomethane	Get Report 
ISOBUTANE	75-28-5	C4H10	2-Methylpropane	Get Report 
ISOPROPYLAMINE	75-31-0	C3H9N	2-Aminopropane; Monoisopropylamine; 2-Propylamine; sec-Propylamine	Get Report 
"1,1-DICHLOROETHANE"	75-34-3	C2H4Cl2	"Asymmetrical dichloroethane; Ethylidene chloride; 1,1-Ethylidene dichloride"	Get Report 
VINYLIDENE CHLORIDE	75-35-4	C2H2Cl2	"1,1-DCE; 1,1-Dichloroethene; 1,1-Dichloroethylene; VDC; Vinylidene chloride monomer; Vinylidene chloride, inhibited; Vinylidene dichloride"	Get Report 
"1,1-DIFLUOROETHYLENE"	75-38-7	C2H2F2	"Difluoro-1,1-ethylene; 1,1-Difluoroethene; 1,1-Difluoroethylene; Halocarbon 1132A; VDF; Vinylidene difluoride"	Get Report 
DICHLOROFLUOROMETHANE	75-43-4	CHCl2F	Dichlorofluoromethane; Fluorodichloromethane; Freon21; Genetron21; Halon112; Refrigerant 21	Get Report 
PHOSGENE	75-44-5	CCl2O	Carbon oxychloride; Carbonyl chloride; Carbonyl dichloride; Chloroformyl chloride	Get Report 
CHLORODIFLUOROMETHANE	75-45-6	CHClF2	"Difluorochloromethane; Fluorocarbon-22, Freon22; Genetron22; Monochlorodifluoromethane; Refrigerant 22"	Get Report 
IODOFORM	75-47-8	CHI3	Triiodomethane	Get Report 
TRIMETHYLAMINE	75-50-3	C3H9N	"N,N-Dimethylmethanamine; TMA [Note: May be used in an aqueous solution (typically 25%, 30%, or 40% TMA.]"	Get Report 
NITROMETHANE	75-52-5	CH3NO2	Nitrocarbol	Get Report 
PROPYLENEIMINE	75-55-8	C3H7N	2-Methylaziridine; 2-Methylethyleneimine; Propyleneimine; Propylene imine (inhibited); Propylenimine	Get Report 
PROPYLENE OXIDE	75-56-9	C3H6O	"1,2-Epoxy propane; Methyl ethylene oxide; Methyloxirane; Propene oxide; 1,2-Propylene oxide"	Get Report 
DIBROMODIFLUOROMETHANE	75-61-6	CBr2F2	Difluorodibromomethane; Freon12B2; Halon1202	Get Report 
BROMOTRIFLUOROMETHANE	75-63-8	CBrF3	Bromotrifluoromethane; Fluorocarbon 1301; Freon13B1; Halocarbon 13B1; Halon1301; Monobromotrifluoromethane; Refrigerant 13B1; Trifluoromonobromomethane	Get Report 
TERT-BUTYL ALCOHOL	75-65-0	C4H10O	2-Methyl-2-propanol; Trimethyl carbinol	Get Report 
TRICHLOROFLUOROMETHANE	75-69-4	CCl3F	Fluorotrichloromethane; Freon 11; Monofluorotrichloromethane; Refrigerant 11; Trichloromonofluoromethane	Get Report 
DICHLORODIFLUOROMETHANE	75-71-8	CCl2F2	Difluorodichloromethane; Fluorocarbon 12; Freon12; Genetron12; Halon122; Propellant 12; Refrigerant 12	Get Report 
"TETRAMETHYL LEAD, as Pb"	75-74-1	C4H12Pb	Lead tetramethyl; Tetramethylplumbane; TML	Get Report 
"2,2-DIMETHYLBUTANE"	75-83-2	C6H14	"Diethylmethylmethane; Diisopropyl; 2,2-Dimethylbutane; 2,3-Dimethylbutane; Isohexane; 2-Methylpentane; 3-Methylpentane"	Get Report 
ACETONE CYANOHYDRIN	75-86-5	C4H7NO	Cyanohydrin-2-propanone; 2-Cyano-2-propanol; à-Hydroxyisobutyronitrile; 2-Hydroxy-2-methyl-propionitrile; 2-Methyllactonitrile	Get Report 
"2,2-DICHLOROPROPIONIC ACID"	75-99-0	C3H4Cl2O2	"Dalapon; 2,2-Dichloropropanoic acid; à,à-Dichloropropionic acid"	Get Report 
IODINE	7553-56-2	I2	Iodine crystals; Molecular iodine	Get Report 
DICHLOROACETYLENE	7572-29-4	C2Cl2	DCA; Dichloroethyne	Get Report 
LITHIUM HYDRIDE	7580-67-8	HLi	Lithium monohydride	Get Report 
PENTACHLOROETHANE	76-01-7	C2HCl5	Ethane pentachloride; Pentalin	Get Report 
TRICHLOROACETIC ACID	76-03-9	C2HCl3O2	TCA; Trichloroethanoic acid	Get Report 
CHLOROPICRIN	76-06-2	CCl3NO2	Nitrochloroform; Nitrotrichloromethane; Trichloronitromethane	Get Report 
"1,1,1,2-TETRACHLORO-2,2-DIFLUOROETHANE"	76-11-9	CCl3CClF2	"2,2-Difluoro-1,1,1,2-tetrachloroethane; Freon (R) 112a; Halocarbon 112a; Refrigerant 112a"	Get Report 
"1,1,2,2-TETRACHLORO-1,2-DIFLUOROETHANE"	76-12-0	CCl2FCCl2F	"1,2-Difluoro-1,1,2,2-tetrachloroethane; Freon112; Halocarbon 112; Refrigerant 112"	Get Report 
"1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE"	76-13-1	C2Cl3F3	Chlorofluorocarbon-113; CFC-113; Freon113; Genetron113; Halocarbon 113; Refrigerant 113; TTE	Get Report 
"1,2-DICHLORO-1,1,2,2-TETRAFLUOROETHANE"	76-14-2	C2Cl2F4	"1,2-Dichlorotetrafluoroethane; Freon114; Genetron114; Halon242; Refrigerant 114"	Get Report 
CHLOROPENTAFLUOROETHANE	76-15-3	C2ClF5	Fluorocarbon-115; Freon115; Genetron115; Halocarbon 115; Monochloropentafluoroethane	Get Report 
CAMPHOR	76-22-2	C10H16O	2-Camphonone; Gum camphor; Laurel camphor; Synthetic camphor	Get Report 
METHOXYFLURANE	76-38-0	C3H4Cl2F2O	"2,2-Dichloro-1,1-difluoroethyl methyl ether; 2,2-Dichloro-1,1-difluoro-1-methoxyethane; Methoflurane; Methoxyfluorane; Penthrane"	Get Report 
HEPTACHLOR	76-44-8	C10H5Cl7	"1,4,5,6,7,8,8-Heptachloro-3a,4,7,7a-tetrahydro-4,7-methanoindene"	Get Report 
PERCHLORYL FLUORIDE	7616-94-6	ClFO3	Chlorine fluoride oxide; Chlorine oxyfluoride; Trioxychlorofluoride	Get Report 
"2-AMINO-3-METHYLIMIDAZO[4,5-f] QUINOLINE"	76180-96-6	C11H10N4	"2-Amino-3-methyl-3h-imidazo(4,5-f)quinoline; Iq; 3-Methyl-3h-imidazo(4,5-f)quinolin-2-amine; 3h-Imidazo(4,5-f)quinolin-2-amine"	Get Report 
"SILICA, AMORPHOUS"	7631-86-9	SiO2	Diatomaceous earth; Diatomaceous silica; Diatomite; Precipitated amorphous silica; Silica gel; Silicon dioxide (amorphous)	Get Report 
SODIUM BISULFITE	7631-90-5	H2O3S.Na	Monosodium salt of sulfurous acid; Sodium acid bisulfite; Sodium bisulphite; Sodium hydrogen sulfite	Get Report 
BORON TRIFLUORIDE	7/2/7637	BF3	Boron fluoride; Trifluoroborane	Get Report 
"1,4-DICHLORO-2-BUTENE"	764-41-0	C4H6Cl2		Get Report 
ZINC CHLORIDE FUME	7646-85-7	Cl2Zn	Zinc dichloride fume	Get Report 
HYDROGEN CHLORIDE	7647-01-0	ClH	"Anhydrous hydrogen chloride; Aqueous hydrogen chloride (i.e., Hydrochloric acid, Muriatic acid)"	Get Report 
PHOSPHORIC ACID	7664-38-2	H3O4P	Orthophosphoric acid; Phosphoric acid (aqueous); White phosphoric acid	Get Report 
"HYDROGEN FLUORIDE, as F"	7664-39-3	FH	"Anhydrous hydrogen fluoride; Aqueous hydrogen fluoride (i.e., Hydrofluoric acid); HF-A"	Get Report 
AMMONIA	7664-41-7	NH3	Anhydrous ammonia; Aqua ammonia; Aqueous ammonia [Note: Often used in an aqueous solution.]	Get Report 
SULFURIC ACID	7664-93-9	H2O4S	Battery acid; Hydrogen sulfate; Oil of vitriol; Sulfuric acid (aqueous)	Get Report 
N-ISOPROPYLANILINE	768-52-5	C9H13N	N-IPA; Isopropylaniline; N-(1-Methylethyl)-benzenamine; N-Phenylisopropylamine	Get Report 
SODIUM METABISULFITE	7681-57-4	H2O5S2.2Na	Disodium pyrosulfite; Sodium metabisulphite; Sodium pyrosulfite	Get Report 
NITRIC ACID	7697-37-2	HNO3	Aqua fortis; Engravers acid; Hydrogen nitrate; Red fuming nitric acid (RFNA); White fuming nitric acid (WFNA)	Get Report 
HEXACHLOROCYCLOPENTADIENE	77-47-4	C5Cl6	"HCCPD; Hexachloro-1,3-cyclopentadiene; 1,2,3,4,5,5-Hexachloro-1,3-cyclopentadiene; Perchlorocyclopentadiene"	Get Report 
DICYCLOPENTADIENE	77-73-6	C10H12	"Bicyclopentadiene; DCPD; 1,3-Dicyclopentadiene dimer; 3a,4,7,7a-Tetrahydro-4,7-methanoindene"	Get Report 
DIMETHYL SULFATE	77-78-1	C2H6O4S	Dimethyl ester of sulfuric acid; Dimethylsulfate; Methyl sulfate	Get Report 
THIONYL CHLORIDE	9/7/7719	Cl2OS	Sulfinyl chloride; Sulfur chloride oxide; Sulfurous dichloride; Sulfurous oxychloride; Thionyl dichloride	Get Report 
PHOSPHORUS TRICHLORIDE	12/2/7719	Cl3P	Phosphorus chloride	Get Report 
HYDROGEN PEROXIDE	7722-84-1	H2O2	High-strength hydrogen peroxide; Hydrogen dioxide; Hydrogen peroxide (aqueous); Hydroperoxide; Peroxide	Get Report 
TETRASODIUM PYROPHOSPHATE	7722-88-5	Na4P2O7	Pyrophosphate; Sodium pyrophosphate; Tetrasodium diphosphate; Tetrasodium pyrophosphate (anhydrous); TSPP	Get Report 
"PHOSPHORUS, YELLOW"	7723-14-0	P4	Elemental phosphorus; White phosphorus	Get Report 
BROMINE	7726-95-6	Br2	Molecular bromine	Get Report 
POTASSIUM PERSULFATE	7727-21-1	H2O8S2.2K		Get Report 
BARIUM SULFATE	7727-43-7	BaSO4	Artificial barite; Barite; Barium salt of sulfuric acid; Barytes (natural)	Get Report 
AMMONIUM PERSULFATE	7727-54-0	H3N.1/2H2O8S2		Get Report 
ASBESTOS - ACTINOLITE	77536-66-4	Hydrated mineral silicate		Get Report 
ASBESTOS - TREMOLITE	77536-68-6	Hydrated mineral silicate		Get Report 
LEAD CHROMATE	7758-97-6	CrH2O4.Pb	"Synonyms of chromates (i.e., chromium(VI) compounds) such as zinc chromate vary depending upon the specific compound."	Get Report 
AMMONIUM SULFAMATE	7773-06-0	H3NO3S.H3N	"Ammate herbicide; Ammonium amidosulfonate; AMS, Monoammonium salt of sulfamic acid; Sulfamate"	Get Report 
SODIUM PERSULFATE	7775-27-1	H2O8S2.2Na		Get Report 
CALCIUM SULFATE	7778-18-9	Ca.H2OS	Anhydrous calcium sulfate; Anhydrous gypsum; Anhydrous sulfate of lime; Calcium salt of sulfuric acid	Get Report 
"ARSENOUS ACID, ARSENIC ACID & ITS SALTS"	7778-39-4	AsH3O4		Get Report 
CALCIUM ARSENATE	7778-44-1	AsH3O4.3/2Ca	Calcium salt (2:3) of arsenic acid; Cucumber dust; Tricalcium arsenate; Tricalcium ortho-arsenate	Get Report 
FLUORINE	7782-41-4	F2	Fluorine-19	Get Report 
"SELENIUM AND COMPOUNDS, as Se"	7782-49-2	Se	Elemental selenium; Selenium alloy	Get Report 
CHLORINE	7782-50-5	Cl2	Molecular chlorine	Get Report 
GERMANE	7782-65-2	GeH4	Germane; Germanium hydride; Germanium tetrahydride; Germanomethane; Monogermane [Note: Used chiefly for the production of high purity germanium for use in semiconductors.]	Get Report 
HYDROGEN SULFIDE	6/4/7783	H2S	Hydrosulfuric acid; Sewer gas; Sulfuretted hydrogen	Get Report 
"HYDROGEN SELENIDE, as Se"	7/5/7783	H2Se	Selenium dihydride; Selenium hydride	Get Report 
OXYGEN DIFLUORIDE	7783-41-7	F2O	Difluorine monoxide; Fluorine monoxide; Oxygen fluoride	Get Report 
NITROGEN TRIFLUORIDE	7783-54-2	F3N	Nitrogen fluoride; Trifluoramine; Trifluorammonia	Get Report 
SULFUR TETRAFLUORIDE	7783-60-0	F4S	Tetrafluorosulfurane	Get Report 
"SELENIUM HEXAFLUORIDE, as Se"	7783-79-1	F6Se	Selenium fluoride	Get Report 
"TELLURIUM HEXAFLUORIDE, as Te"	7783-80-4	F6Te	Tellurium fluoride	Get Report 
"LEAD ARSENATE, as Pb(AsO4)2"	7784-40-9	AsH3O4.2/3Pb	"[Note: OSHA considers ""Inorganic Arsenic"" to mean copper acetoarsenite & all inorganic compounds containing arsenic except ARSINE.]"	Get Report 
ARSINE	7784-42-1	AsH3	Arsenic hydride; Arsenic trihydride; Arseniuretted hydrogen; Arsenous hydride; Hydrogen arsenide	Get Report 
MEVINPHOS	7786-34-7	C7H13O6P	2-Carbomethoxy-1-methylvinyl dimethyl phosphate; Mevinphos [Note: Commercial product is a mixture of the cis- & trans-isomers.]	Get Report 
"STRONTIUM CHROMATE, as Cr"	6/2/7789	CrH2O4.Sr		Get Report 
BROMINE PENTAFLUORIDE	7789-30-2	BrF5	Bromine fluoride	Get Report 
CHLORINE TRIFLUORIDE	7790-91-2	ClF3	Chlorine fluoride; Chlorotrifluoride	Get Report 
GRAPHITE (NATURAL)	7792-42-5	C	Black lead; Mineral carbon; Plumbago; Silver graphite; Stove black [Note: Also see specific listing for Graphite (synthetic).]	Get Report 
"TETRAETHYL LEAD, as Pb"	78-00-2	C8H20Pb	Lead tetraethyl; TEL; Tetraethylplumbane	Get Report 
ETHYL SILICATE	78-10-4	C8H20O4Si	Ethyl orthosilicate; Ethyl silicate (condensed); Tetraethoxysilane; Tetraethyl orthosilicate; Tetraethyl silicate	Get Report 
TRICRESYL PHOSPHATE	78-30-8	C21H21O4P	TCP; TOCP; Tri-o-cresyl ester of phosphoric acid; Tri-o-cresyl phosphate; Triorthocresyl phosphate	Get Report 
DIOXATHION	78-34-2	C12H26O6P2S4	"Delnav; p-Dioxane-2,3-diyl ethyl phosphorodithioate; Dioxane phosphate; 2,3-p-Dioxanethiol S,S-bis(O,O-diethyl phosphoro-dithioate); Navadel"	Get Report 
ISOPHORONE	78-59-1	C9H14O	"Isoacetophorone; 3,5,5-Trimethyl-2-cyclohexenone; 3,5,5-Trimethyl-2-cyclo-hexen-1-one"	Get Report 
ISOPENTANE	78-78-4	C5H12		Get Report 
ISOBUTYLNITRILE	78-82-0	C4H7N	Isopropyl cyanide; 2-Methylpropanenitrile; 2-Methylpropionitrile	Get Report 
ISOBUTANOL	78-83-1	C4H10O	IBA; Isobutanol; Isopropylcarbinol; 2-Methyl-1-propanol	Get Report 
"1,2-DICHLOROPROPANE"	78-87-5	C3H6Cl2	"Dichloro-1,2-propane; 1,2-Dichloropropane"	Get Report 
2-CHLORO-1-PROPANOL	78-89-7	C3H7ClO	2-Chloropropyl alcohol; Propylenechlorohydrin; 2-Chloroisopropyl alcohol; 2-Chloropropanol; Propylene Chlorohydrin; 1-Hydroxy-2-chloropropane; beta-Chloropropyl alcohol	Get Report 
SEC-BUTYL ALCOHOL	78-92-2	C4H10O	2-Butanol; Butylene hydrate; 2-Hydroxybutane; Methyl ethyl carbinol	Get Report 
ETHYL METHYL KETONE	78-93-3	C4H8O	Ethyl methyl ketone; MEK; Methyl acetone; Methyl ethyl ketone	Get Report 
METHYL VINYL KETONE	78-94-4	C4H6O		Get Report 
CHLOROACETONE	78-95-5	C3H5ClO		Get Report 
PHOSPHINE	7803-51-2	H3P	Hydrogen phosphide; Phosphorated hydrogen; Phosphorus hydride; Phosphorus trihydride	Get Report 
STIBINE	7803-52-3	H3Sb	Antimony hydride; Antimony trihydride; Hydrogen antimonide	Get Report 
SILANE	7803-62-5	H4Si	Monosilane; Silane; Silicane	Get Report 
"1,1,2-TRICHLOROETHANE"	79-00-5	C2H3Cl3	Ethane trichloride; beta -Trichloroethane; Vinyl trichloride	Get Report 
TRICHLOROETHYLENE	79-01-6	C2HCl3	Ethylene trichloride; TCE; Trichloroethene; Trilene	Get Report 
CHLOROACETYL CHLORIDE	79-04-9	C2H2Cl2O	Chloroacetic acid chloride; Chloroacetic chloride; Monochloroacetyl chloride	Get Report 
ACRYLAMIDE	79-06-1	C3H5NO	Acrylamide monomer; Acrylic amide; Propenamide; 2-Propenamide	Get Report 
PROPIONIC ACID	79-09-4	C3H6O2	Carboxyethane; Ethanecarboxylic acid; Ethylformic acid; Metacetonic acid; Methyl acetic acid; Propanoic acid	Get Report 
ACRYLIC ACID	79-10-7	C3H4O2	"Acroleic acid; Acrylic Acid, inhibited; Aqueous acrylic acid (technical grade is 94%); Ethylenecarboxylic acid; Glacial acrylic acid (98% in aqueous solution); 2-Propenoic acid"	Get Report 
METHYL ACETATE	79-20-9	C3H6O2	Methyl ester of acetic acid; Methyl ethanoate	Get Report 
NITROETHANE	79-24-3	C2H5NO2	Nitroetan	Get Report 
ACETYLENE TETRABROMIDE	79-27-6	C2H2Br4	"Symmetrical tetrabromoethane; TBE; Tetrabromoacetylene; Tetrabromoethane; 1,1,2,2-Tetrabromoethane"	Get Report 
"2,3-DIMETHYLBUTANE"	79-29-8	C6H14	"Diethylmethylmethane; Diisopropyl; 2,2-Dimethylbutane; 2,3-Dimethylbutane; Isohexane; 2-Methylpentane; 3-Methylpentane"	Get Report 
TETRACHLOROETHANE	79-34-5	C2H2Cl4	Acetylene tetrachloride; Symmetrical tetrachloroethane	Get Report 
METHACRYLIC ACID	79-41-4	C4H6O2	Methacrylic acid (glacial); Methacrylic acid (inhibited); alpha-Methacrylic acid; 2-Methylacrylic acid; 2-Methylpropenoic acid	Get Report 
DICHLOROACETIC ACID	79-43-6	C2H2Cl2O2		Get Report 
DIMETHYLCARBAMOYLCHLORIDE	79-44-7	C3H6ClNO	"Chloroformic acid dimethylamide; Dimethylcarbamic chloride; N,N-Dimethylcarbamoyl chloride; DMCC"	Get Report 
2-NITROPROPANE	79-46-9	C3H7NO2	Dimethylnitromethane; iso-Nitropropane; 2-NP	Get Report 
"P, P' OXYBIS(BENZENESULFONYL HYDRAZIDE)"	80-51-3	C12H14N4O5S2	"p,p'-Oxybis(benzene-sulfonyl hydrazide)"	Get Report 
PINENE	80-56-8			Get Report 
METHYL METHACRYLATE	80-62-6	C5H8O2	"Methacrylate monomer; Methyl ester of methacrylic acid; Methyl methacrylate monomer, unihibited; Methyl-2-methyl-2-propenoate"	Get Report 
TOXAPHENE	8001-35-2	C10H10Cl8	Chlorinated camphene; Chlorocamphene; Octachlorocamphene; Polychlorocamphene	Get Report 
PARAFFIN WAX FUME	8002-74-2	CnH2n+2	Paraffin fume; Paraffin scale fume	Get Report 
PYRETHRUM	8003-34-7	No formula	"Cinerin I or II; Jasmolin I or II; Pyrethrin I or II; Pyrethrins; Pyrethrum I or II [Note: Pyrethrum is a variable mixture of Cinerin, Jasmolin, and Pyrethrin.]"	Get Report 
GASOLINE	8006-61-9	Mixture	Motor fuel; Motor spirits; Natural gasoline; Petrol [Note: A complex mixture of volatile hydrocarbons (paraffins; cycloparaffins & aromatics).]	Get Report 
TURPENTINE	8006-64-2	C10H16 (approx)	Gumspirits; Gum turpentine; Spirits of turpentine; Steam distilled turpentine; Sulfate wood turpentine; Turps; Wood turpentine	Get Report 
KEROSENE	8008-20-6	Mixture	Fuel Oil No. 1; Range oil	Get Report 
"OIL MISTS, MINERAL"	8012-95-1	Mixture	Heavy mineral oil mist; Paraffin oil mist; White mineral oil mist	Get Report 
METHYL DEMETON	8022-00-2	C6H15O3PS2	"Demeton methyl; O,O-Dimethyl 2-ethylmercaptoethyl thiophosphate; Metasystox; Methyl mercaptophos; Methyl systox"	Get Report 
NAPHTHA (COAL TAR)	8030-30-6	Mixture	Crude solvent coal tar naphtha; High solvent naphtha; Naphtha	Get Report 
VM&P NAPHTHA	8032-32-4	Mixture	Ligroin; Painters naphtha; Petroleum ether; Petroleum spirit; Refined solvent naphtha; Varnish makers' & painters' naphtha	Get Report 
STODDARD SOLVENT	8052-41-3	Mixture	Dry cleaning safety solvent; Mineral spirits; Petroleum solvent; Spotting naphtha	Get Report 
ASPHALT FUMES	8052-42-4	Mixture	Asphalt: Asphaltum; Bitumen (European term); Petroleum asphalt; Petroleum bitumen; Road asphalt; Roofing asphalt	Get Report 
DEMETON	8065-48-3	C8H19O3PS2.C8H19O3PS2	O-O-Diethyl-O(and S)-2-(ethylthio)ethyl phosphorothioate mixture; Systox	Get Report 
WARFARIN	81-81-2	C19H16O4	3-(alpha-Acetonyl)-benzyl-4-hydroxycoumarin; 4-Hydroxy-3-(3-oxo-1-phenyl butyl)-2H-1-benzopyran-2-one; WARF	Get Report 
PENTACHLORONITROBENZENE	82-68-8	C6Cl5NO2	Quintozene	Get Report 
HEXAMETHYLENE DIISOCYANATE	822-06-0	C8H12N2O2	"1,6-Diisocyanatohexane; HDI; Hexamethylene-1,6-diisocyanate; 1,6-Hexamethylene diisocyanate; HMDI"	Get Report 
PINDONE	83-26-1	C14H14O3	"tert-Butyl valone; 1,3-Dioxo-2-pivaloy-lindane; Pival; Pivalyl; 2-Pivalyl-1,3-indandione"	Get Report 
ROTENONE	83-79-4	C23H22O6	"1,2,12,12a-Tetrahydro-8,9-dimethoxy-2-(1-methyl-ethenyl)-[1]benzopyrano [3,4-b]furo[2,3-h][1] benzopyran-6(6aH)-one"	Get Report 
DIETHYL PHTHALATE	84-66-2	C12H14O4	DEP; Diethyl ester of phthalic acid; Ethyl phthalate	Get Report 
N-BUTYL PHTHALATE	84-74-2	C16H22O4	"DBP; Dibutyl 1,2-benzene-dicarboxylate; Di-n-butyl phthalate"	Get Report 
PHTHALIC ANHYDRIDE	85-44-9	C8H4O3	"1,2-Benzenedicarboxylic anhydride; PAN; Phthalic acid anhydride"	Get Report 
AZINPHOS METHYL	86-50-0	C10H12N3O3PS2	"O,O-Dimethyl-S-4-oxo-1,2,3-benzotriazin-3(4H)-ylmethyl phosphorodithioate; Guthion; Methyl azinphos"	Get Report 
1-NITRONAPHTHALENE	86-57-7	C10H7NO2		Get Report 
ANTU	86-88-4	C11H10N2S	à-Naphthyl thiocarbamide; 1-Naphthyl thiourea; à-Naphthyl thiourea	Get Report 
HEXACHLOROBUTADIENE	87-68-3	C4Cl6	"HCBD; Hexachloro-1,3-butadiene; 1,3-Hexachlorobutadiene; Perchlorobutadiene"	Get Report 
PENTACHLOROPHENOL	87-86-5	C6HCl5O	"PCP; Penta; 2,3,4,5,6-Pentachlorophenol"	Get Report 
N-VINYL-2-PYRROLIDONE	88-12-0	(C6H9NO)x		Get Report 
O-NITROTOLUENE	88-72-2	C7H7NO2	o-Methylnitrobenzene; 2-Methylnitrobenzene; ortho-Nitrotoluene; 2-Nitrotoluene	Get Report 
2-CHLORONITROBENZENE	88-73-3	C6H4ClNO2	o-Chloronitrobenzene; 1-Chloro-2-nitrobenzene; 2-Chloro-1-nitrobenzene o-Nitrochlorobenzene; Chloro-o-nitrobenzene; ONCB; 2-CNB; o-Nitrochlorobenzene	Get Report 
PICRIC ACID	88-89-1	C6H3N3O7	"Phenol trinitrate; 2,4,6-Trinitrophenol"	Get Report 
O-SEC-BUTYLPHENOL	89-72-5	C10H14O	2-sec-Butylphenol; 2-(1-Methylpropyl)phenol	Get Report 
O-ANISIDINE	90-04-0	C7H9NO	ortho-Aminoanisole; 2-Anisidine; o-Methoxyaniline [Note: o-Anisidine has been used as a basis for many dyes.]	Get Report 
CELLULOSE	9004-34-6	(C6H1005)n	Hydroxycellulose; Pyrocellulose	Get Report 
STARCH	9005-25-8	(C6H10O5)n	Corn starch; Rice starch; Sorghum gum; à-Starch; Starch gum; Tapioca starch	Get Report 
"2,6-TOLUENE-DIISOCYANATE"	91-08-7	C9H6N2O2		Get Report 
NAPHTHALENE	91-20-3	C10H8	Naphthalin; Tar camphor; White tar	Get Report 
BETA-NAPHTHYLAMINE	91-59-8	C10H9N	2-Aminonaphthalene; 2-Naphthylamine	Get Report 
"3,3'-DICHLOROBENZIDINE"	91-94-1	C12H10Cl2N2	"4,4'-Diamino-3,3'-dichlorobiphenyl; Dichlorobenzidine base; o,o'-Dichlorobenzidine; 3,3'-Dichlorobiphenyl-4,4'-diamine; 3,3'-Dichloro-4,4'-biphenyldiamine; 3,3'-Dichloro-4,4'-diaminobiphenyl"	Get Report 
DEMETON-S-METHYL	919-86-8	C6H15O3PS2		Get Report 
BIPHENYL	92-52-4	C12H10	Biphenyl; Diphenyl; Phenyl benzene	Get Report 
4-AMINOBIPHENYL	92-67-1	C12H11N	4-Aminobiphenyl; p-Aminobiphenyl; p-Aminodiphenyl; 4-Phenylaniline	Get Report 
PHENOTHIAZINE	92-84-2	C12H9NS	Dibenzothiazine; Fenothiazine; Thiodiphenylamine	Get Report 
BENZIDINE	92-87-5	C12H12N2	"Benzidine-based dyes; 4,4'-Bianiline; 4,4'-Biphenyldiamine; 1,1'-Biphenyl-4,4'-diamine; 4,4'-Diaminobiphenyl; p-Diaminodiphenyl"	Get Report 
4-NITROBIPHENYL	92-93-3	C6H5C6H4NO2	p-Nitrobipheny; p-Nitrodiphenyl; 4-Nitrodiphenyl; p-Phenylnitrobenzene; 4-Phenylnitrobenzene; PNB	Get Report 
METHYLEUGENOL	93-15-2	C11H14O2		Get Report 
"2,4,5-TRICHLOROPHENOXYACETIC ACID"	93-76-5	C8H5Cl3O3	"2,4,5-T"	Get Report 
PERLITE	93763-70-3	C4F8	Expanded perlite	Get Report 
BENZOYL PEROXIDE	94-36-0	C14H10O4	Benzoperoxide; Dibenzoyl peroxide	Get Report 
"2,4-DICHLOROPHENOXYACETIC ACID"	94-75-7	C8H6Cl2O3	"Dichlorophenoxyacetic acid; 2,4-D"	Get Report 
FONOFOS	944-22-9	C10H15OPS2	Dyfonate; Dyphonate; O-Ethyl-S-phenyl ethylphosphorothioate; Fonophos	Get Report 
INDENE	95-13-6	C9H8	Indonaphthene	Get Report 
O-XYLENE	95-47-6	C8H10	"1,2-Dimethylbenzene; ortho-Xylene; o-Xylol"	Get Report 
